CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
21,66,Female,Month-to-month,59.55,1390.27,No,Fiber optic,22,Yes,Bank transfer,Yes,60.45,2049.77
22,41,Male,Two year,99.82,4934.19,Yes,DSL,50,Yes,Electronic check,No,96.75,5428.86
23,46,Female,One year,68.73,1286.88,No,DSL,21,Yes,Credit card,No,58.49,1597.69
24,23,Female,Month-to-month,64.42,652.56,No,No,8,Yes,Electronic check,No,72.51,814.29
25,36,Male,One year,32.54,573.04,No,DSL,21,Yes,Electronic check,No,26.05,637.97
26,46,Male,Month-to-month,93.56,5952.6,No,Fiber optic,61,Yes,Bank transfer,No,96.01,8493.81
27,27,Male,One year,50.44,1111.22,Yes,Fiber optic,23,No,Credit card,No,46.3,1528.55
28,50,Male,Month-to-month,67.0,1620.31,No,DSL,21,Yes,Mailed check,Yes,73.65,2124.6
29,35,Male,Month-to-month,114.41,3409.7,Yes,Fiber optic,31,Yes,Mailed check,No,106.55,4303.07
30,40,Female,One year,85.26,1210.97,No,Fiber optic,13,Yes,Mailed check,No,86.5,1765.79
31,35,Male,Month-to-month,21.15,71.13,No,No,1,Yes,Electronic check,No,35.56,85.76
32,72,Male,Two year,20.0,723.77,Yes,DSL,32,Yes,Bank transfer,No,21.93,893.01
33,44,Female,Month-to-month,68.07,981.72,Yes,DSL,13,Yes,Electronic check,Yes,70.12,1453.98
34,29,Female,Two year,33.62,958.76,Yes,No,30,No,Credit card,Yes,30.93,1079.42
35,57,Female,Two year,89.46,2373.89,Yes,Fiber optic,28,Yes,Electronic check,No,81.86,3352.52
36,26,Male,Month-to-month,71.27,1634.07,No,Fiber optic,23,Yes,Electronic check,No,68.09,2266.82
37,48,Female,One year,74.96,1521.53,No,Fiber optic,20,Yes,Mailed check,No,72.45,2222.59
38,18,Female,Month-to-month,48.8,3319.86,No,Fiber optic,69,Yes,Mailed check,No,47.43,3772.11
39,25,Male,Two year,122.24,6506.56,Yes,Fiber optic,53,Yes,Mailed check,No,120.49,9682.91
40,47,Male,Month-to-month,150.0,7982.96,No,DSL,53,Yes,Electronic check,No,147.83,8873.34
41,56,Female,One year,61.64,771.99,No,Fiber optic,14,Yes,Electronic check,No,51.47,953.47
42,47,Female,Month-to-month,80.59,2296.05,No,DSL,28,Yes,Credit card,No,79.17,2603.56
43,43,Female,Month-to-month,72.92,1942.19,No,No,27,Yes,Mailed check,No,69.36,2176.16
44,40,Female,Month-to-month,62.21,3538.15,Yes,DSL,58,Yes,Mailed check,Yes,59.97,5257.29
45,22,Female,Month-to-month,45.04,3321.47,No,No,72,Yes,Mailed check,Yes,45.5,4609.75
46,34,Female,One year,37.45,708.77,Yes,Fiber optic,21,Yes,Mailed check,No,32.22,923.02
47,38,Male,One year,35.93,744.84,Yes,DSL,22,Yes,Bank transfer,No,32.38,851.56
48,60,Male,One year,82.16,1075.25,No,Fiber optic,13,Yes,Bank transfer,No,76.8,1409.02
49,50,Male,Month-to-month,54.41,3456.43,No,DSL,61,Yes,Electronic check,No,55.75,4244.56
50,18,Female,Month-to-month,20.0,79.28,Yes,DSL,3,Yes,Mailed check,Yes,19.82,95.82
51,49,Female,Month-to-month,83.35,469.56,No,DSL,5,Yes,Electronic check,No,78.26,632.61
52,39,Female,One year,68.85,1278.43,No,No,19,Yes,Mailed check,No,63.92,1810.73
53,34,Male,Two year,110.4,7168.16,Yes,DSL,65,Yes,Mailed check,No,108.61,9155.92
54,54,Female,Month-to-month,81.19,2999.28,No,No,37,Yes,Electronic check,No,78.93,3891.02
55,60,Male,Month-to-month,25.64,1260.04,Yes,DSL,48,Yes,Bank transfer,Yes,25.72,1714.38
56,58,Male,Month-to-month,20.0,1170.4,Yes,Fiber optic,60,Yes,Electronic check,Yes,19.19,1345.79
57,32,Female,One year,48.42,860.24,Yes,No,15,Yes,Credit card,Yes,53.76,1231.38
58,40,Female,One year,51.25,1090.11,Yes,No,22,Yes,Electronic check,No,47.4,1564.07
59,49,Female,One year,98.29,1107.11,No,DSL,13,No,Credit card,No,79.08,1457.42
60,59,Male,Month-to-month,69.73,2157.09,No,Fiber optic,27,Yes,Mailed check,Yes,77.04,2534.64
61,37,Male,One year,104.01,1527.42,No,DSL,15,No,Electronic check,No,95.46,1986.12
62,42,Male,One year,30.26,675.91,No,Fiber optic,18,Yes,Electronic check,No,35.57,772.14
63,28,Male,Month-to-month,98.96,6968.58,No,Fiber optic,69,Yes,Electronic check,Yes,99.55,9793.05
64,27,Female,Month-to-month,91.63,6508.6,No,Fiber optic,70,Yes,Electronic check,No,91.67,7969.53
65,57,Female,Month-to-month,20.0,1400.2,No,Fiber optic,71,Yes,Electronic check,No,19.45,1714.45
66,65,Female,Month-to-month,109.68,248.03,No,DSL,2,Yes,Electronic check,No,82.68,366.59
67,43,Male,Two year,72.8,3512.74,Yes,DSL,50,Yes,Electronic check,No,68.88,4456.76
68,60,Female,Month-to-month,81.76,1834.24,Yes,DSL,20,Yes,Mailed check,Yes,87.34,2596.97
69,50,Male,One year,44.05,707.78,No,No,18,Yes,Electronic check,No,37.25,958.94
70,35,Female,Month-to-month,108.26,6794.83,No,DSL,63,Yes,Bank transfer,No,106.17,8333.65
71,50,Male,Month-to-month,34.42,2006.52,No,Fiber optic,58,Yes,Electronic check,No,34.01,2306.52
72,68,Male,Month-to-month,94.96,2743.18,No,Fiber optic,29,Yes,Credit card,Yes,91.44,3892.83
73,44,Female,Month-to-month,94.62,2867.48,No,Fiber optic,31,Yes,Mailed check,Yes,89.61,4028.81
74,68,Female,Month-to-month,40.77,914.16,Yes,Fiber optic,19,Yes,Bank transfer,No,45.71,1067.43
75,18,Male,Month-to-month,129.5,2037.55,No,Fiber optic,15,Yes,Electronic check,Yes,127.35,2444.33
76,57,Male,Month-to-month,76.95,1878.91,No,Fiber optic,24,Yes,Mailed check,No,75.16,2642.67
77,46,Female,Month-to-month,89.62,5247.43,No,Fiber optic,59,Yes,Electronic check,No,87.46,7836.79
78,40,Male,Month-to-month,24.19,1170.63,No,No,44,Yes,Credit card,No,26.01,1682.73
79,46,Male,Month-to-month,133.53,1021.81,No,No,8,Yes,Credit card,No,113.53,1403.62
80,18,Male,Month-to-month,33.26,1820.2,No,Fiber optic,50,Yes,Bank transfer,Yes,35.69,2668.73
81,41,Male,Two year,100.75,3335.76,Yes,DSL,33,Yes,Bank transfer,Yes,98.11,4049.93
82,50,Female,Month-to-month,40.16,1689.1,No,Fiber optic,39,Yes,Bank transfer,No,42.23,1864.53
83,67,Female,One year,51.43,605.78,No,Fiber optic,12,Yes,Electronic check,Yes,46.6,744.13
84,37,Female,Month-to-month,93.66,6188.89,Yes,Fiber optic,66,Yes,Bank transfer,Yes,92.37,9213.85
85,32,Female,One year,100.83,2441.55,No,Fiber optic,23,Yes,Electronic check,No,101.73,3547.06
86,37,Male,Month-to-month,31.86,1876.19,Yes,Fiber optic,52,Yes,Bank transfer,No,35.4,2101.6
87,58,Male,Two year,102.71,5086.32,Yes,Fiber optic,48,Yes,Electronic check,No,103.8,6616.2
88,49,Male,Month-to-month,101.35,2317.4,Yes,DSL,22,Yes,Electronic check,Yes,100.76,2622.38
89,37,Male,One year,41.86,1021.74,No,Fiber optic,23,No,Mailed check,No,42.57,1446.39
90,52,Male,Month-to-month,117.96,4195.84,No,DSL,36,Yes,Electronic check,No,113.4,5240.8
91,46,Female,Month-to-month,26.29,1133.88,No,Fiber optic,42,Yes,Bank transfer,Yes,26.37,1660.89
92,59,Female,One year,51.26,523.78,No,DSL,12,Yes,Mailed check,No,40.29,587.56
93,34,Male,Month-to-month,84.37,2399.94,No,DSL,28,Yes,Credit card,Yes,82.76,3344.55
94,40,Female,Month-to-month,44.39,1287.01,Yes,DSL,28,Yes,Electronic check,No,44.38,1621.31
95,39,Female,Month-to-month,77.91,3543.81,No,No,48,Yes,Bank transfer,No,72.32,4278.41
96,23,Female,One year,77.23,1085.13,No,Fiber optic,14,Yes,Credit card,No,72.34,1418.24
97,49,Female,Two year,64.39,2681.39,Yes,Fiber optic,41,No,Electronic check,No,63.84,3470.24
98,48,Female,Month-to-month,94.97,2555.87,No,Fiber optic,27,Yes,Bank transfer,No,91.28,3168.07
99,45,Female,One year,63.15,856.74,Yes,Fiber optic,13,Yes,Electronic check,No,61.2,1164.78
100,41,Female,Month-to-month,76.95,4097.87,No,Fiber optic,55,Yes,Electronic check,Yes,73.18,5591.65
101,23,Female,Month-to-month,104.39,6499.25,No,Fiber optic,63,Yes,Electronic check,No,101.55,7349.71
102,38,Male,Two year,93.72,2915.11,Yes,DSL,30,Yes,Bank transfer,No,94.04,3900.9
103,39,Male,Two year,93.58,5053.41,Yes,DSL,54,No,Electronic check,No,91.88,6995.4
104,32,Female,One year,35.52,531.33,No,DSL,14,No,Electronic check,No,35.42,600.59
105,42,Male,Month-to-month,85.74,5690.18,Yes,Fiber optic,67,Yes,Mailed check,No,83.68,7759.43
106,51,Male,Month-to-month,43.65,3144.39,No,DSL,72,Yes,Electronic check,Yes,43.07,4470.04
107,73,Female,Month-to-month,31.56,243.16,No,Fiber optic,15,Yes,Bank transfer,Yes,15.2,348.4
108,47,Male,Month-to-month,67.85,1102.33,No,Fiber optic,15,Yes,Electronic check,No,68.9,1230.93
109,48,Female,Month-to-month,42.87,695.25,No,DSL,12,Yes,Electronic check,No,53.48,958.72
110,43,Female,One year,93.72,1299.28,No,No,15,Yes,Mailed check,No,81.2,1843.4
111,18,Female,Two year,94.44,5099.95,Yes,No,55,Yes,Mailed check,No,91.07,6419.46
112,44,Male,Month-to-month,20.0,844.09,No,DSL,40,Yes,Credit card,Yes,20.59,1111.78
113,45,Male,Month-to-month,45.15,2495.24,No,No,52,Yes,Mailed check,Yes,47.08,3009.37
114,80,Female,Two year,26.21,1781.83,Yes,Fiber optic,68,Yes,Credit card,No,25.82,2181.13
115,42,Female,Month-to-month,56.12,326.04,No,Fiber optic,8,Yes,Electronic check,No,36.23,424.06
116,49,Female,One year,83.66,1484.93,No,DSL,18,Yes,Mailed check,Yes,78.15,1723.2
117,44,Male,Month-to-month,62.73,2845.38,Yes,DSL,47,Yes,Bank transfer,No,59.28,3551.62
118,27,Male,Month-to-month,52.31,2443.86,No,No,48,Yes,Bank transfer,No,49.87,2982.92
119,62,Female,Two year,109.01,3675.78,Yes,No,34,No,Credit card,No,105.02,4393.65
120,56,Male,Month-to-month,20.0,87.07,No,Fiber optic,9,Yes,Mailed check,No,8.71,112.63
121,56,Female,Month-to-month,107.11,5598.84,No,No,53,Yes,Electronic check,No,103.68,8036.97
122,31,Male,Month-to-month,53.67,758.85,No,Fiber optic,14,Yes,Credit card,Yes,50.59,908.27
123,66,Male,Two year,67.66,2254.18,Yes,DSL,33,Yes,Electronic check,No,66.3,3074.45
124,23,Male,Two year,54.18,2295.66,Yes,Fiber optic,45,Yes,Electronic check,No,49.91,2758.64
125,53,Male,Month-to-month,116.29,5388.82,No,DSL,46,Yes,Mailed check,Yes,114.66,6233.97
126,77,Female,Month-to-month,33.07,590.15,No,Fiber optic,19,Yes,Electronic check,No,29.51,871.84
127,30,Female,One year,70.35,986.6,No,No,13,Yes,Electronic check,No,70.47,1335.16
128,36,Male,Month-to-month,85.82,4111.74,No,Fiber optic,47,Yes,Credit card,No,85.66,4694.94
129,46,Female,One year,21.67,335.6,Yes,Fiber optic,18,No,Electronic check,Yes,17.66,454.09
130,37,Male,Month-to-month,42.4,231.03,No,Fiber optic,4,Yes,Bank transfer,Yes,46.21,270.43
131,21,Female,Month-to-month,65.55,4111.8,No,DSL,64,Yes,Electronic check,No,63.26,5983.16
132,46,Male,One year,43.4,826.78,No,Fiber optic,16,Yes,Electronic check,Yes,48.63,991.3
133,29,Female,Month-to-month,45.53,2652.02,No,Fiber optic,60,Yes,Electronic check,Yes,43.48,3773.08
134,52,Female,Two year,59.5,3248.5,Yes,Fiber optic,54,Yes,Mailed check,No,59.06,3832.18
135,31,Female,Month-to-month,89.49,2039.45,Yes,No,23,Yes,Electronic check,Yes,84.98,2698.84
136,68,Female,Month-to-month,59.72,1212.12,Yes,DSL,22,Yes,Bank transfer,Yes,52.7,1775.67
137,33,Female,Two year,102.35,6640.67,Yes,Fiber optic,64,No,Bank transfer,No,102.16,8091.0
138,40,Female,Month-to-month,40.07,1781.68,No,Fiber optic,46,Yes,Mailed check,No,37.91,2017.86
139,57,Female,One year,32.44,446.4,Yes,DSL,19,Yes,Electronic check,No,22.32,589.71
140,26,Female,Month-to-month,127.79,8529.33,No,Fiber optic,69,Yes,Electronic check,No,121.85,9970.21
141,48,Female,One year,50.26,867.46,No,DSL,19,Yes,Mailed check,No,43.37,1206.93
142,64,Male,One year,30.67,628.35,No,Fiber optic,16,Yes,Credit card,No,36.96,839.69
143,20,Female,Month-to-month,20.0,405.77,No,Fiber optic,14,Yes,Mailed check,Yes,27.05,502.57
144,47,Male,One year,102.25,2075.46,No,DSL,21,Yes,Mailed check,No,94.34,2868.82
145,48,Female,One year,59.76,1098.01,No,No,19,Yes,Credit card,Yes,54.9,1312.57
146,56,Male,Month-to-month,62.39,2137.11,No,Fiber optic,35,Yes,Electronic check,Yes,59.36,3134.75
147,26,Female,Month-to-month,65.22,1301.58,No,DSL,22,Yes,Electronic check,No,56.59,1612.34
148,25,Male,Month-to-month,100.39,2515.21,No,Fiber optic,26,Yes,Mailed check,Yes,93.16,3534.34
149,52,Male,Month-to-month,64.61,938.1,No,No,13,Yes,Electronic check,No,67.01,1128.91
150,49,Male,Month-to-month,140.32,7487.43,No,DSL,53,Yes,Credit card,No,138.66,10377.06
151,48,Female,Month-to-month,74.01,1951.64,No,Fiber optic,26,Yes,Mailed check,No,72.28,2171.42
152,50,Male,Month-to-month,101.85,1903.56,No,Fiber optic,20,Yes,Electronic check,No,90.65,2318.93
153,34,Male,One year,94.16,2175.69,No,Fiber optic,23,Yes,Electronic check,No,90.65,2474.09
154,48,Female,Month-to-month,68.91,3972.92,No,DSL,61,Yes,Mailed check,No,64.08,5087.27
155,49,Female,Two year,52.39,3751.64,Yes,Fiber optic,70,Yes,Mailed check,No,52.84,4779.75
156,34,Male,Month-to-month,79.96,3464.09,No,No,43,Yes,Credit card,No,78.73,4307.95
157,72,Male,Month-to-month,85.3,3533.5,No,No,43,Yes,Mailed check,No,80.31,5273.64
158,52,Male,One year,52.82,1218.09,No,DSL,20,Yes,Bank transfer,No,58.0,1458.83
159,27,Female,Month-to-month,74.99,2894.98,Yes,Fiber optic,41,Yes,Electronic check,No,68.93,4100.51
160,54,Male,Month-to-month,107.09,2408.93,Yes,DSL,22,Yes,Electronic check,Yes,104.74,3080.97
161,30,Male,Month-to-month,132.1,9566.6,No,Fiber optic,72,Yes,Bank transfer,No,131.05,11804.46
162,56,Male,Month-to-month,95.63,0.0,Yes,DSL,0,Yes,Credit card,No,0.0,0.0
163,62,Male,Month-to-month,125.88,4402.11,No,DSL,35,Yes,Mailed check,No,122.28,5957.65
164,32,Female,Two year,51.12,1727.71,Yes,Fiber optic,37,Yes,Mailed check,No,45.47,2131.08
165,59,Male,Month-to-month,91.06,1081.21,Yes,DSL,15,Yes,Mailed check,No,67.58,1540.9
166,51,Male,Two year,110.16,2757.26,Yes,Fiber optic,26,No,Mailed check,No,102.12,4101.11
167,57,Male,One year,43.11,714.32,No,No,18,Yes,Electronic check,No,37.6,850.65
168,73,Male,Month-to-month,55.43,3722.96,No,No,66,Yes,Bank transfer,No,55.57,4286.87
169,41,Male,Month-to-month,122.14,2327.35,Yes,DSL,19,Yes,Mailed check,No,116.37,2853.81
170,33,Female,One year,40.75,702.05,No,Fiber optic,17,No,Electronic check,Yes,39.0,903.43
171,31,Female,Two year,29.77,1297.56,Yes,Fiber optic,47,No,Mailed check,No,27.03,1583.53
172,32,Female,Month-to-month,115.84,1800.43,No,Fiber optic,16,Yes,Electronic check,No,105.91,2679.38
173,43,Female,Month-to-month,105.9,2978.19,Yes,No,29,Yes,Mailed check,No,99.27,4204.26
174,50,Female,Month-to-month,82.96,3361.97,No,Fiber optic,42,Yes,Bank transfer,No,78.19,4997.43
175,49,Male,Month-to-month,68.63,3166.18,No,Fiber optic,47,Yes,Electronic check,Yes,65.96,3955.49
176,57,Female,Month-to-month,56.84,2394.91,No,DSL,42,Yes,Bank transfer,Yes,55.7,2926.27
177,45,Female,Two year,78.46,2845.7,Yes,Fiber optic,37,Yes,Mailed check,No,74.89,3593.96
178,66,Female,Month-to-month,117.39,6072.15,No,Fiber optic,52,Yes,Credit card,Yes,114.57,7949.25
179,41,Female,One year,77.16,1458.32,No,DSL,18,Yes,Credit card,No,76.75,2036.72
180,80,Male,One year,135.01,2380.08,Yes,DSL,18,No,Mailed check,No,125.27,3456.93
181,54,Female,Month-to-month,43.06,2923.99,No,DSL,71,Yes,Electronic check,Yes,40.61,3758.12
182,32,Female,Month-to-month,69.41,4915.02,Yes,DSL,70,Yes,Bank transfer,No,69.23,5975.04
183,28,Female,One year,58.81,849.9,No,DSL,14,Yes,Mailed check,Yes,56.66,1043.29
184,52,Male,Two year,37.45,1493.25,Yes,DSL,39,No,Mailed check,No,37.33,2058.86
185,41,Male,One year,65.41,1174.51,No,DSL,17,Yes,Electronic check,No,65.25,1558.6
186,55,Male,Month-to-month,82.52,2603.78,No,Fiber optic,31,Yes,Bank transfer,Yes,81.37,3370.85
187,52,Female,Month-to-month,85.73,4546.4,No,Fiber optic,53,Yes,Electronic check,Yes,84.19,5369.8
188,43,Male,Month-to-month,135.11,374.26,No,Fiber optic,1,Yes,Electronic check,Yes,187.13,542.74
189,32,Male,Month-to-month,83.93,2893.13,No,No,36,Yes,Credit card,Yes,78.19,4086.28
190,22,Female,One year,104.5,1717.93,Yes,Fiber optic,17,No,Mailed check,No,95.44,1986.36
191,38,Male,Month-to-month,71.98,96.73,No,Fiber optic,0,Yes,Bank transfer,Yes,96.73,120.62
192,57,Female,One year,120.34,2661.78,No,No,22,Yes,Bank transfer,Yes,115.73,3505.17
193,48,Male,Month-to-month,141.95,2347.05,Yes,DSL,16,Yes,Electronic check,No,138.06,3008.29
194,26,Female,One year,85.93,1735.63,No,Fiber optic,20,Yes,Bank transfer,No,82.65,2185.36
195,47,Female,Two year,40.22,2188.64,Yes,Fiber optic,51,Yes,Electronic check,No,42.09,3036.81
196,50,Female,Month-to-month,53.54,2629.58,Yes,Fiber optic,51,Yes,Bank transfer,Yes,50.57,2949.86
197,31,Female,Two year,78.46,4684.81,Yes,DSL,58,Yes,Bank transfer,No,79.4,6036.68
198,47,Male,Month-to-month,83.69,3967.07,No,No,46,Yes,Electronic check,Yes,84.41,4779.81
199,45,Male,Month-to-month,90.95,970.4,No,DSL,12,Yes,Electronic check,No,74.65,1100.29
200,27,Male,Two year,83.81,5342.84,Yes,No,63,Yes,Bank transfer,No,83.48,6870.65
201,50,Female,Two year,70.21,1750.93,Yes,Fiber optic,25,Yes,Mailed check,No,67.34,2046.05
202,53,Female,Month-to-month,50.91,2586.87,No,Fiber optic,52,Yes,Bank transfer,No,48.81,3112.76
203,61,Male,Month-to-month,82.03,1205.72,No,DSL,17,Yes,Electronic check,No,66.98,1570.81
204,60,Female,One year,125.65,1406.71,No,Fiber optic,12,No,Bank transfer,No,108.21,2095.28
205,24,Male,One year,100.6,1881.57,Yes,DSL,18,Yes,Electronic check,No,99.03,2584.72
206,30,Female,Month-to-month,86.04,3609.07,Yes,DSL,41,Yes,Bank transfer,Yes,85.93,4373.65
207,52,Female,One year,100.89,1189.57,No,No,12,Yes,Electronic check,No,91.51,1490.49
208,52,Male,Month-to-month,58.87,552.64,No,Fiber optic,8,Yes,Electronic check,No,61.4,697.69
209,52,Male,Month-to-month,54.75,1134.81,No,Fiber optic,19,Yes,Bank transfer,No,56.74,1318.04
210,80,Male,Month-to-month,47.57,1775.42,Yes,No,37,Yes,Electronic check,Yes,46.72,2067.06
211,53,Female,Month-to-month,66.24,4365.94,No,DSL,67,Yes,Credit card,Yes,64.21,5061.69
212,62,Female,Two year,57.34,3312.48,Yes,Fiber optic,57,Yes,Bank transfer,No,57.11,4334.92
213,59,Male,Month-to-month,106.25,6317.34,No,Fiber optic,59,Yes,Credit card,No,105.29,8652.71
214,54,Male,Two year,55.74,2352.75,Yes,Fiber optic,41,Yes,Electronic check,No,56.02,3143.95
215,40,Male,Month-to-month,45.92,1969.19,Yes,No,41,Yes,Electronic check,No,46.89,2936.28
216,56,Female,One year,128.28,2557.61,No,No,21,No,Mailed check,No,116.25,2942.14
217,33,Female,One year,56.46,795.89,Yes,Fiber optic,15,Yes,Electronic check,No,49.74,1189.53
218,41,Male,One year,74.61,1153.04,No,Fiber optic,18,Yes,Mailed check,No,60.69,1483.59
219,37,Female,One year,83.54,1494.87,No,Fiber optic,17,No,Bank transfer,No,83.05,1775.09
220,46,Female,Month-to-month,35.9,2240.42,No,Fiber optic,63,Yes,Bank transfer,No,35.01,3309.8
221,79,Male,Two year,107.06,3255.02,Yes,Fiber optic,30,Yes,Electronic check,No,105.0,4190.66
222,18,Male,One year,89.11,1367.36,No,DSL,17,Yes,Bank transfer,Yes,75.96,1694.08
223,55,Female,Month-to-month,116.75,3058.89,Yes,DSL,25,Yes,Mailed check,No,117.65,3626.38
224,20,Female,One year,49.62,674.54,Yes,No,16,Yes,Mailed check,Yes,39.68,814.27
225,37,Male,Month-to-month,72.97,734.22,No,DSL,9,Yes,Electronic check,No,73.42,1095.23
226,61,Male,Month-to-month,71.18,794.78,Yes,Fiber optic,11,Yes,Mailed check,No,66.23,970.9
227,45,Male,Two year,77.92,5591.05,Yes,No,72,Yes,Bank transfer,No,76.59,8336.95
228,28,Female,Month-to-month,26.36,1343.78,No,Fiber optic,52,Yes,Bank transfer,No,25.35,1655.66
229,34,Male,One year,73.33,1549.35,No,Fiber optic,22,Yes,Electronic check,Yes,67.36,1847.7
230,55,Male,Month-to-month,27.21,1054.53,No,DSL,34,Yes,Bank transfer,Yes,30.13,1237.32
231,34,Female,Month-to-month,80.75,5653.76,No,No,70,Yes,Electronic check,No,79.63,7150.55
232,48,Female,Month-to-month,20.0,393.08,Yes,DSL,26,Yes,Credit card,No,14.56,469.62
233,45,Male,Month-to-month,20.0,1141.6,Yes,Fiber optic,59,Yes,Bank transfer,No,19.03,1574.02
234,35,Male,One year,94.56,1714.85,No,Fiber optic,18,Yes,Bank transfer,No,90.26,2050.8
235,77,Female,Month-to-month,53.59,3573.45,Yes,Fiber optic,65,Yes,Mailed check,Yes,54.14,5124.89
236,54,Male,Month-to-month,40.36,504.64,Yes,DSL,14,Yes,Electronic check,No,33.64,723.45
237,18,Male,Month-to-month,108.13,2433.11,No,Fiber optic,23,Yes,Mailed check,No,101.38,2954.3
238,47,Female,Month-to-month,79.83,720.8,No,DSL,9,Yes,Electronic check,No,72.08,1010.14
239,35,Male,One year,96.16,2010.6,Yes,Fiber optic,20,Yes,Electronic check,No,95.74,2901.33
240,57,Female,Month-to-month,65.01,3503.84,No,Fiber optic,56,Yes,Electronic check,Yes,61.47,4681.31
241,33,Female,One year,150.0,2600.54,No,DSL,17,Yes,Bank transfer,No,144.47,3241.65
242,43,Male,Two year,51.86,3117.33,Yes,Fiber optic,61,Yes,Electronic check,No,50.28,3978.92
243,52,Male,One year,122.33,2536.59,Yes,No,21,No,Credit card,No,115.3,3587.98
244,57,Female,One year,68.16,1427.02,No,No,18,No,Electronic check,No,75.11,1737.15
245,26,Female,Month-to-month,20.36,0.0,No,Fiber optic,0,Yes,Credit card,No,0.0,0.0
246,39,Female,Month-to-month,84.49,2525.55,Yes,Fiber optic,29,Yes,Credit card,No,84.18,2940.53
247,37,Female,Two year,79.44,5235.68,Yes,Fiber optic,65,Yes,Electronic check,Yes,79.33,6594.97
248,35,Male,One year,38.46,651.2,No,No,20,Yes,Credit card,No,31.01,738.86
249,71,Female,One year,42.33,577.46,No,No,18,Yes,Credit card,Yes,30.39,709.36
250,51,Male,One year,69.26,1259.5,No,Fiber optic,17,No,Electronic check,No,69.97,1573.61
251,26,Male,Month-to-month,80.49,535.58,No,No,8,Yes,Credit card,No,59.51,643.88
252,58,Male,Month-to-month,20.0,0.0,No,No,8,Yes,Electronic check,No,0.0,0.0
253,76,Male,One year,101.59,1524.93,No,No,14,Yes,Electronic check,No,101.66,1995.62
254,60,Female,One year,55.17,560.04,Yes,Fiber optic,12,Yes,Mailed check,No,43.08,809.83
255,22,Male,Month-to-month,30.05,1214.79,Yes,No,43,Yes,Electronic check,No,27.61,1499.37
256,37,Male,Two year,98.23,3144.4,Yes,No,30,Yes,Electronic check,No,101.43,3756.68
257,64,Male,Month-to-month,69.29,3645.06,No,DSL,55,Yes,Credit card,No,65.09,4425.15
258,34,Female,Month-to-month,106.48,5198.62,Yes,No,50,Yes,Credit card,No,101.93,7510.73
259,51,Female,Two year,83.14,2198.77,Yes,Fiber optic,27,No,Bank transfer,No,78.53,2882.86
260,56,Male,One year,69.95,1445.02,Yes,Fiber optic,21,Yes,Mailed check,No,65.68,1665.12
261,31,Male,Month-to-month,65.42,564.81,No,Fiber optic,10,Yes,Credit card,No,51.35,781.52
262,44,Male,Month-to-month,84.48,1911.69,No,Fiber optic,24,Yes,Electronic check,No,76.47,2220.9
263,18,Female,Month-to-month,57.59,3491.46,Yes,No,58,Yes,Credit card,No,59.18,3924.74
264,29,Female,One year,44.42,914.76,No,Fiber optic,20,No,Electronic check,No,43.56,1099.79
